date,maximum_temperature,minimum_temperature,average_temperature,precipitation,snow_fall,snow_depth
1/1/2016,42,34,38,0,0,0
1/2/2016,40,32,36,0,0,0
1/3/2016,45,35,40,0,0,0
1/4/2016,36,14,25,0,0,0
1/5/2016,29,11,20,0,0,0
1/6/2016,41,25,33,0,0,0
1/7/2016,46,31,38.5,0,0,0
1/8/2016,46,31,38.5,0,0,0
1/9/2016,47,40,43.5,,0,0
1/10/2016,59,40,49.5,1.8,0,0
1/11/2016,40,26,33,0,0,0
1/12/2016,44,25,34.5,0,,0
1/13/2016,30,22,26,0,0,0
1/14/2016,38,22,30,0,,0
1/15/2016,51,34,42.5,,0,0
1/16/2016,52,42,47,0.24,0,0
1/17/2016,42,30,36,0.05,0.4,0
1/18/2016,31,18,24.5,,,
1/19/2016,28,16,22,0,0,
1/20/2016,37,27,32,0,0,
1/21/2016,36,26,31,0,0,0
1/22/2016,30,21,25.5,0.01,0.2,0
1/23/2016,27,24,25.5,2.31,27.3,6
1/24/2016,35,20,27.5,,,22
1/25/2016,39,28,33.5,0,0,19
1/26/2016,48,38,43,0,0,17
1/27/2016,47,34,40.5,,0,9
1/28/2016,42,32,37,0,0,6
1/29/2016,41,30,35.5,0,0,6
1/30/2016,39,28,33.5,0,0,6
1/31/2016,56,36,46,0,0,4
2/1/2016,59,44,51.5,0.01,0,2
2/2/2016,50,38,44,0,0,
2/3/2016,59,42,50.5,0.73,0,0
2/4/2016,59,44,51.5,,0,0
2/5/2016,44,31,37.5,0.53,2.5,1
2/6/2016,40,30,35,0,0,0
2/7/2016,47,33,40,0,0,0
2/8/2016,39,28,33.5,0.05,0.1,0
2/9/2016,36,27,31.5,0,,
2/10/2016,39,31,35,0.01,,0
2/11/2016,31,18,24.5,,,0
2/12/2016,27,15,21,0,0,0
2/13/2016,22,6,14,0,0,0
2/14/2016,15,-1,7,0,0,0
2/15/2016,35,13,24,0.44,1.4,0
2/16/2016,54,35,44.5,1.01,0,0
2/17/2016,39,35,37,0,0,0
2/18/2016,36,27,31.5,0,0,0
2/19/2016,39,24,31.5,0,0,0
2/20/2016,61,39,50,0,0,0
2/21/2016,55,44,49.5,0.03,0,0
2/22/2016,52,38,45,0,0,0
2/23/2016,40,35,37.5,0.3,,0
2/24/2016,60,36,48,1.22,0,0
2/25/2016,61,37,49,0.02,0,0
2/26/2016,39,27,33,0,0,0
2/27/2016,41,26,33.5,0,0,0
2/28/2016,60,38,49,0,0,0
2/29/2016,61,47,54,0.05,0,0
3/1/2016,52,39,45.5,0,0,0
3/2/2016,55,29,42,0.14,0,0
3/3/2016,36,26,31,0,0,0
3/4/2016,39,30,34.5,0.11,0.4,
3/5/2016,41,28,34.5,0,0,0
